symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
AIVL,,,,99.58999633789062,,0.4315,100.0,0.184,99.0,0.2249,82.0,0.2676,89.0,0.1564,68.0,0.0776,52.0,0.1594,75.0,0.2131,84.0
AIYY,,,,4.369999885559082,,0.5603,,0.4707,,0.8704,,2.3949,,0.6199,,0.4775,,0.8704,,2.2676,
AIZ,53.0,,,187.0099945068359,,0.5434,95.0,0.3276,90.0,0.4582,95.0,0.4063,92.0,0.2664,69.0,0.2145,59.0,0.2898,80.0,0.3164,84.0
AJG,65.0,,,319.25,,0.4889,97.0,0.3494,94.0,0.4367,98.0,0.4175,97.0,0.2265,73.0,0.2058,70.0,0.2898,92.0,0.3069,92.0
AKAM,44.0,,,73.69000244140625,,0.4504,77.0,0.3046,61.0,0.5353,82.0,0.4804,75.0,0.4982,74.0,0.2846,53.0,0.4008,62.0,0.418,62.0
AKBA,23.0,,,1.7699999809265137,,0.393,25.0,0.4554,23.0,5.7085,100.0,,,0.8818,69.0,0.633,35.0,0.8661,41.0,,
AKR,53.0,,,18.329999923706055,,0.5854,95.0,0.37,88.0,0.5177,81.0,,,0.2694,60.0,0.2346,60.0,0.5177,88.0,,
AKRO,36.0,,,36.72999954223633,,0.8677,88.0,0.6578,73.0,0.7152,46.0,0.6463,38.0,1.1179,72.0,0.5508,31.0,0.6187,19.0,0.6725,28.0
AKYA,19.0,,,1.1699999570846558,,0.6833,54.0,0.8467,74.0,,,,,0.8524,82.0,0.8525,90.0,,,,
AL,51.0,,,42.04999923706055,,0.7458,97.0,0.4407,91.0,0.6151,96.0,0.6364,96.0,0.3452,70.0,0.2761,60.0,0.4705,91.0,0.4486,87.0
ALAB,54.0,,,52.939998626708984,,0.9718,,0.7829,,1.1526,,1.1283,,0.9963,,0.7245,,0.7798,,0.8445,
ALB,52.0,,,58.5099983215332,,0.7989,97.0,0.58,96.0,0.9394,100.0,0.8927,100.0,0.5053,82.0,0.4269,85.0,0.526,97.0,0.6029,99.0
ALC,39.0,,,83.81999969482422,,0.6023,96.0,0.2558,91.0,0.5102,93.0,0.5517,94.0,0.2521,49.0,0.1582,65.0,0.3264,87.0,0.3496,92.0
ALDX,36.0,,,1.8899999856948853,,8.3271,100.0,2.3102,100.0,,,,,2.0644,100.0,0.8631,84.0,,,,
ALE,51.0,,,65.23999786376953,,0.0855,11.0,0.0759,4.0,,,0.1353,3.0,0.0509,2.0,0.0514,2.0,,,0.1353,2.0
ALEC,38.0,,,1.0199999809265137,,0.6397,50.0,0.6435,53.0,,,,,0.9741,79.0,0.7938,88.0,,,,
ALEX,37.0,,,16.540000915527344,,0.2863,74.0,0.22,50.0,0.2724,37.0,0.3444,57.0,0.1811,6.0,0.1815,11.0,0.2724,46.0,0.3444,68.0
ALG,37.0,,,165.80999755859375,,0.3936,87.0,0.2585,63.0,0.4153,88.0,0.4428,92.0,0.2936,61.0,0.2378,19.0,0.3103,56.0,0.3125,54.0
ALGM,65.0,,,21.31999969482422,,0.8685,99.0,0.6578,98.0,0.7351,95.0,0.8611,99.0,0.5811,99.0,0.5057,96.0,0.4542,49.0,0.4595,44.0
ALGN,59.0,,,153.50999450683594,,0.4747,74.0,0.4983,84.0,0.7284,90.0,0.7074,89.0,0.3677,26.0,0.3547,47.0,0.5045,67.0,0.5187,68.0
