symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
AEG,842.0,,,7.190000057220459,,0.1566,15.0,0.1524,42.0,0.3046,41.0,,,,,0.3499,62.0,0.2149,69.0,0.3387,54.0,,,,,20260116.0,35.0,245.0
AEHR,138.0,,,9.539999961853027,,0.8894,,0.6561,,0.7333,,0.72,,0.7066,,0.9802,,0.7527,,0.6829,,0.7348,,0.7867,,20270115.0,35.0,609.0
AEIS,108.0,,,114.77999877929688,,0.2946,30.0,0.2567,16.0,0.4088,38.0,0.4088,36.0,0.4088,36.0,0.5826,79.0,0.4468,66.0,0.4269,47.0,0.43,47.0,0.4331,47.0,20260116.0,35.0,245.0
AEM,107.0,,,117.98999786376953,,0.2495,20.0,0.2035,8.0,0.286,10.0,0.2962,13.0,0.3063,17.0,0.3734,40.0,0.293,35.0,0.3651,34.0,0.3621,30.0,0.3592,25.0,20270617.0,7.0,762.0
AEO,80.0,,,10.960000038146973,,0.5698,83.0,0.5605,91.0,0.5226,76.0,0.5218,76.0,0.5211,75.0,0.6325,93.0,0.5039,89.0,0.4299,69.0,0.5051,84.0,0.5803,90.0,20270115.0,7.0,609.0
AEP,107.0,,,103.48999786376953,,0.1578,50.0,0.1543,46.0,0.1818,59.0,0.1809,53.0,0.18,47.0,0.2159,78.0,0.2036,74.0,0.1443,26.0,0.2034,57.0,0.2625,74.0,20270115.0,35.0,609.0
AER,94.0,,,115.7300033569336,,0.1404,14.0,0.156,10.0,0.2016,8.0,0.1964,6.0,0.1912,6.0,0.3005,46.0,0.2698,46.0,0.2661,24.0,0.2814,28.0,0.2967,34.0,20270115.0,35.0,609.0
AES,92.0,,,10.09000015258789,,0.8144,95.0,0.5257,91.0,0.4505,84.0,0.424,79.0,0.3974,76.0,0.4963,88.0,0.4124,87.0,0.3637,71.0,0.4636,85.0,0.5636,92.0,20270115.0,7.0,609.0
AESI,96.0,,,12.149999618530273,,0.2721,,0.3427,,0.5786,,0.545,,0.5114,,0.5585,,0.4891,,0.4689,,0.5327,,0.5964,,20260116.0,35.0,245.0
AETH,,,,39.09400177001953,,0.5588,,0.2375,,0.8331,,0.8128,,0.7924,,0.4792,,0.2075,,0.5933,,0.6037,,0.6141,,20251219.0,35.0,217.0
