percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
67,0.7194440000000001,0.840072,0.8676,0.8639600000000002,0.7689320000000002,0.7885320000000001,0.8617720000000001,0.8698320000000002,0.85,0.7809400000000001,0.8331200000000001,0.8251800000000001,0.8174,0.85106,0.8068000000000001,0.8493600000000001,0.7972400000000001,0.85172,0.78146,0.84492,0.7555,0.825944,0.830972,0.8355160000000001,0.7596160000000001,0.7711160000000001,0.793644,0.8241720000000001
68,0.7319019999999999,0.8500039999999999,0.8734549999999999,0.8733789999999994,0.778351,0.803353,0.872451,0.8784,0.85522,0.78531,0.8373550000000001,0.829455,0.82366,0.8572099999999999,0.812975,0.854775,0.802855,0.857885,0.7865,0.849765,0.7659,0.8383510000000001,0.838502,0.8434,0.7687589999999997,0.777551,0.8085159999999996,0.8283589999999997
69,0.74186,0.85593,0.8814199999999999,0.8827499999999999,0.78703,0.8124799999999999,0.8831499999999999,0.8829,0.86235,0.793,0.84165,0.8347,0.8293999999999999,0.86425,0.81915,0.8609500000000001,0.8071,0.8633,0.79425,0.8541000000000001,0.77386,0.8520799999999998,0.8534,0.85853,0.7775,0.7862399999999998,0.8217599999999999,0.83633
70,0.7600539999999998,0.8652449999999998,0.8880089999999999,0.8930089999999999,0.7988809999999997,0.8276899999999997,0.8979,0.8869,0.8715799999999999,0.799145,0.8455,0.84019,0.8343,0.8722249999999999,0.8258,0.8672799999999999,0.8120699999999998,0.8708299999999998,0.8006899999999999,0.85929,0.7814359999999999,0.863509,0.860718,0.8713179999999999,0.786136,0.7989539999999998,0.831818,0.846718
71,0.7778,0.878888,0.892776,0.899276,0.811652,0.8440759999999999,0.905952,0.8910640000000001,0.8796599999999999,0.8037799999999999,0.8508799999999999,0.8436,0.8384399999999999,0.87954,0.83134,0.8735,0.81904,0.8785799999999999,0.8057399999999999,0.8671,0.792488,0.877052,0.8656,0.877776,0.79444,0.8121640000000001,0.840852,0.8542759999999999
72,0.798667,0.8855,0.8965339999999999,0.906367,0.8238030000000001,0.85257,0.9195,0.896467,0.8853099999999999,0.8085049999999999,0.856505,0.8476,0.8439099999999999,0.884775,0.8359,0.882235,0.82607,0.88594,0.8118,0.871635,0.801334,0.886302,0.8763,0.8857020000000001,0.8096,0.8253,0.8542690000000001,0.8644010000000001
73,0.813222,0.8973,0.900814,0.914668,0.833138,0.8710220000000001,0.92833,0.9035,0.8916299999999999,0.81492,0.8643099999999999,0.85456,0.8489,0.89212,0.8400599999999999,0.88808,0.83165,0.89132,0.8197899999999999,0.87693,0.811976,0.890946,0.896846,0.894846,0.8224220000000001,0.8348,0.864392,0.878976
74,0.828525,0.9104,0.9092,0.932525,0.851275,0.8917250000000001,0.9465,0.912475,0.901075,0.8242,0.8696,0.861575,0.8549249999999999,0.8990250000000001,0.8442,0.895575,0.836025,0.8979,0.826525,0.88345,0.826175,0.899625,0.90465,0.9177,0.8334,0.843475,0.8713,0.8882
75,0.845104,0.917004,0.916212,0.9413,0.868304,0.9154559999999998,0.959104,0.923204,0.91196,0.82986,0.8742000000000001,0.86594,0.86172,0.91072,0.84894,0.90342,0.8405400000000001,0.90502,0.83282,0.89014,0.838404,0.90832,0.915524,0.922404,0.852552,0.85432,0.8786,0.898804
76,0.856266,0.9239,0.920749,0.954311,0.8859,0.931749,0.967949,0.9304,0.9252300000000002,0.83553,0.8820450000000001,0.87593,0.867145,0.92346,0.85623,0.91742,0.8460200000000001,0.91263,0.83733,0.8979750000000001,0.8510829999999999,0.915783,0.926749,0.930966,0.8654660000000001,0.862483,0.8856959999999999,0.9084
