percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
61,0.1943,0.1971,0.1979,0.1992,0.2011,0.1991,0.1947,0.194758,0.217,0.214768,0.2156,0.2156,0.215534,0.214634,0.214768,0.213034,0.214768,0.213,0.214768,0.214334,0.0841,0.0952,0.0964,0.097158,0.0858579999999999,0.0897579999999999,0.0948,0.0962
62,0.196719,0.198317,0.1988,0.200117,0.202717,0.200617,0.195417,0.196217,0.2179,0.215941,0.2158,0.2163,0.2167,0.216641,0.215941,0.2146,0.215941,0.2142,0.215941,0.215482,0.0852,0.096,0.097617,0.0995,0.086817,0.091317,0.0961,0.097634
63,0.1989,0.199,0.1998,0.200776,0.2038,0.2019,0.196452,0.1979,0.2179,0.2172,0.2158,0.2163,0.2169,0.2179,0.2172,0.216048,0.2172,0.215248,0.2172,0.2156,0.086,0.0972,0.0983,0.102776,0.0881,0.093376,0.0972,0.0986
64,0.200435,0.1995,0.201035,0.202035,0.205035,0.203,0.1977,0.1989,0.2182,0.2175,0.2162,0.2166,0.2169,0.2179,0.2175,0.21731,0.2175,0.2155,0.2175,0.2156,0.087235,0.098535,0.0995,0.1041,0.089935,0.0943,0.098435,0.0993
65,0.202094,0.200994,0.2016939999999999,0.202894,0.2072,0.2039,0.2001,0.200894,0.2196,0.2175,0.217362,0.217562,0.2172,0.2179,0.2175,0.2179,0.2175,0.2155,0.2175,0.2166,0.0886,0.100394,0.101,0.1046,0.092,0.095994,0.100994,0.1002
66,0.2042,0.2032,0.2026,0.204,0.208453,0.205,0.2013,0.2037,0.221107,0.2183,0.219,0.218538,0.218669,0.2191,0.2183,0.2179,0.2183,0.216269,0.2183,0.218169,0.0898,0.1019,0.1037,0.1051,0.0931,0.0972,0.1036,0.1008
67,0.207,0.2041,0.203424,0.206336,0.210524,0.206412,0.2029,0.205112,0.222476,0.219576,0.22,0.220176,0.220076,0.2204,0.219576,0.218552,0.219576,0.218,0.219576,0.2194,0.090912,0.1028,0.1047,0.1055,0.0944,0.099012,0.1058,0.1016
68,0.2091,0.2052709999999999,0.2057709999999999,0.2127839999999999,0.2129,0.2075709999999999,0.2049,0.2076419999999999,0.2245319999999999,0.2212829999999999,0.221183,0.2212829999999999,0.221366,0.2224,0.2212829999999999,0.220383,0.2212829999999999,0.2195659999999999,0.2212829999999999,0.2207829999999999,0.0923709999999999,0.1034709999999999,0.1064,0.1059,0.0958,0.1007,0.1068,0.1023709999999999
69,0.21373,0.2068,0.208,0.2178799999999999,0.2146,0.20903,0.2074,0.20983,0.2254,0.22299,0.2223599999999999,0.22279,0.223,0.2240899999999999,0.22299,0.2221,0.22299,0.2210899999999999,0.22299,0.2223799999999999,0.094,0.1044,0.1082,0.1065,0.09823,0.10223,0.1076,0.1032
70,0.2161669999999999,0.2081559999999999,0.2115669999999999,0.221689,0.2161,0.211089,0.209,0.2114,0.227194,0.2245,0.2234,0.224197,0.2246,0.2252,0.2245,0.223391,0.2245,0.222497,0.2245,0.2233,0.0948,0.1066,0.1091,0.1073889999999999,0.1008559999999999,0.1039889999999999,0.1082,0.1038
71,0.218644,0.212248,0.219084,0.2234,0.217744,0.213548,0.212744,0.212848,0.2283,0.225804,0.2247,0.2252,0.225804,0.227004,0.225804,0.2248,0.225804,0.223604,0.225804,0.224,0.096348,0.1089,0.110296,0.108348,0.103548,0.106192,0.1091,0.1047
72,0.220707,0.2167,0.2233069999999999,0.2262,0.2206,0.2152,0.2173,0.214407,0.2296109999999999,0.227,0.2256109999999999,0.2264,0.227011,0.228311,0.227,0.2262,0.227,0.224822,0.227,0.225511,0.0986349999999999,0.1099,0.1114209999999999,0.1091139999999999,0.1064,0.110107,0.1104069999999999,0.1066
