percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
30,0.0639,0.0808,0.081,0.0821,0.0703,0.0722,0.0768,0.0785,0.086396,0.075896,0.0827,0.0804,0.077796,0.0863,0.075896,0.0863,0.075896,0.0853,0.075896,0.0837,0.1289,0.156673,0.143,0.147973,0.1525,0.128773,0.156673,0.129,0.156673,0.1326,0.156673,0.137373,0.046,0.0517,0.0529,0.0536,0.0479,0.0487569999999999,0.0501,0.051
31,0.0645,0.0812,0.0816,0.0823,0.071,0.0727,0.0773,0.079,0.0873,0.077,0.083712,0.081424,0.078612,0.087324,0.077,0.087312,0.077,0.0861,0.077,0.0852,0.129956,0.1577,0.144,0.1488,0.1536,0.1299,0.1577,0.130356,0.1577,0.133356,0.1577,0.138256,0.0464,0.052204,0.053204,0.0538,0.0483,0.0491,0.0504,0.0514
32,0.0652,0.0815,0.0821,0.0827,0.0714,0.0732,0.077751,0.0794,0.088356,0.0779,0.0849,0.0825,0.079656,0.0885,0.0779,0.0885,0.0779,0.087528,0.0779,0.086328,0.1312,0.1586,0.1449,0.149839,0.1548,0.131139,0.1586,0.1314,0.1586,0.1345,0.1586,0.139339,0.0469,0.0528,0.0536,0.0541,0.0485,0.049451,0.0508,0.0518
33,0.0659,0.0818,0.0827,0.083,0.071798,0.0738,0.0782,0.0796,0.0894,0.078644,0.0856,0.083444,0.080788,0.0894,0.078644,0.0894,0.078644,0.0885,0.078644,0.0875,0.1324,0.159522,0.145822,0.150722,0.156,0.1324,0.159522,0.1326,0.159522,0.1352219999999999,0.159522,0.140422,0.0474,0.0532,0.0538,0.0543,0.049,0.0499,0.0512,0.0521
34,0.0668,0.0821,0.0832,0.0833,0.0723,0.0745,0.0788,0.0804,0.09036,0.0798599999999999,0.0864,0.0844199999999999,0.0817599999999999,0.09036,0.0798599999999999,0.0902,0.0798599999999999,0.0896599999999999,0.0798599999999999,0.0883,0.133505,0.1606,0.146705,0.152205,0.1571,0.133605,0.1606,0.133805,0.1606,0.1361,0.1606,0.1412,0.0478,0.0538,0.0542,0.0544,0.0494,0.0504,0.0516,0.0525
35,0.0673,0.0823,0.0835,0.0836,0.0727919999999999,0.075,0.0791,0.081,0.091476,0.0807,0.087576,0.085276,0.0828,0.091476,0.0807,0.0913,0.0807,0.090576,0.0807,0.089276,0.1345,0.1614,0.1475,0.1529879999999999,0.1579,0.1346879999999999,0.1614,0.1347,0.1614,0.1373,0.1614,0.1421,0.0482,0.0543,0.0546,0.0546,0.0497,0.0508,0.0519919999999999,0.053
36,0.0683,0.0827,0.0837,0.0839,0.0734,0.0757,0.0795,0.0816,0.0923,0.082092,0.0887,0.0865759999999999,0.0838,0.0923,0.082092,0.0922919999999999,0.082092,0.091792,0.082092,0.0901,0.135571,0.1621,0.1488,0.1538,0.1591,0.1356,0.1621,0.1357,0.1621,0.1382,0.1621,0.142871,0.0487,0.0547,0.0549,0.0548,0.05,0.0512,0.0524,0.0533389999999999
37,0.0692,0.082986,0.083986,0.084286,0.0739,0.0763,0.08,0.0821,0.0935,0.083,0.089416,0.087608,0.0849,0.093308,0.083,0.093208,0.083,0.092716,0.083,0.090808,0.1368,0.162854,0.1496,0.1547,0.16,0.136954,0.162854,0.137054,0.162854,0.139054,0.162854,0.144154,0.049186,0.0551,0.0552,0.0552,0.0504,0.0516,0.0528,0.0537
38,0.069933,0.0833,0.0843,0.0846,0.0743,0.0772,0.0804,0.0825,0.0941,0.084224,0.0902,0.0883,0.085824,0.0941,0.084224,0.094,0.084224,0.0936,0.084224,0.092,0.1378,0.163837,0.1504,0.1555,0.161,0.137837,0.163837,0.138,0.163837,0.140037,0.163837,0.145,0.0495,0.0554,0.0556,0.0556,0.0507,0.052,0.0532,0.0542
39,0.07078,0.0838,0.0847,0.085,0.075,0.0777,0.0809,0.083,0.095,0.0852,0.09144,0.08918,0.087,0.09484,0.0852,0.0947,0.0852,0.0944,0.0852,0.09294,0.139,0.1649,0.1513,0.15662,0.1616,0.139,0.1649,0.1393,0.1649,0.14082,0.1649,0.1463,0.0499,0.0557,0.0559,0.05598,0.05118,0.0523,0.0535,0.0545
40,0.0716,0.0844,0.085,0.0856,0.0756,0.0784,0.0814,0.0836,0.0958,0.086856,0.092156,0.09,0.088256,0.0958,0.086856,0.0956,0.086856,0.095,0.086856,0.0937,0.140303,0.165703,0.1522,0.1577,0.1623,0.1404,0.165703,0.1404,0.165703,0.1417,0.165703,0.147203,0.0505,0.0559,0.0561269999999999,0.0564,0.0515,0.0525,0.054,0.0549
