percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
37,0.0272,0.032656,0.0352,0.0373,0.0295779999999999,0.0304,0.032,0.0324,0.0845,0.116754,0.104754,0.109954,0.1136539999999999,0.084854,0.116754,0.0859,0.116754,0.0919,0.116754,0.098254,0.0346,0.0392,0.041,0.0423,0.0353,0.036,0.0376,0.0384
38,0.0279,0.033659,0.0355,0.0375,0.0301,0.031,0.0325,0.0332,0.085674,0.118,0.105787,0.1115,0.115,0.086087,0.118,0.087187,0.118,0.0928,0.118,0.0992,0.0349,0.0398,0.0421,0.0426,0.0355,0.0364,0.0379,0.0387
39,0.0284,0.0344,0.0363,0.0378,0.03054,0.0317,0.0329,0.0337,0.0865,0.1192,0.107,0.1127,0.11652,0.0869,0.1192,0.0883,0.1192,0.09372,0.1192,0.1007,0.0353,0.0402,0.0425,0.0428,0.0358,0.03704,0.0382,0.0391
40,0.0288,0.0348,0.037621,0.0379,0.031,0.0322,0.0333,0.0342,0.0873,0.120753,0.108653,0.1146529999999999,0.117953,0.087853,0.120753,0.0892,0.120753,0.0947,0.120753,0.1023,0.035521,0.0409,0.0427,0.043,0.0361,0.037621,0.0386,0.0395
41,0.0293,0.0355,0.038,0.038,0.0316,0.0328,0.0336,0.034502,0.0884859999999999,0.1218859999999999,0.1106579999999999,0.1159859999999999,0.1200859999999999,0.0891859999999999,0.1218859999999999,0.0902,0.1218859999999999,0.0959859999999999,0.1218859999999999,0.1032859999999999,0.0359,0.0415,0.0429019999999999,0.0433,0.0365,0.0381,0.0388,0.0399
42,0.0301,0.0363829999999999,0.0384,0.0382,0.0319,0.0332,0.0339,0.035,0.0894,0.123519,0.111938,0.1183,0.121619,0.0901,0.123519,0.091119,0.123519,0.096819,0.123519,0.104519,0.0363,0.0422,0.0433,0.0435,0.0370829999999999,0.0386,0.039,0.0405
43,0.0306,0.0371,0.038964,0.038564,0.0322,0.0335,0.0342,0.035764,0.0903,0.1252,0.1136,0.1198,0.1229519999999999,0.0911,0.1252,0.0919519999999999,0.1252,0.097952,0.1252,0.105752,0.0368,0.0427,0.0437,0.044,0.0376,0.039,0.0392,0.0409
44,0.031,0.0375,0.0392,0.0389,0.0328,0.034,0.0349,0.036345,0.091185,0.126885,0.1145,0.1209,0.1243,0.0921,0.126885,0.093185,0.126885,0.099585,0.126885,0.1069,0.0372,0.0432,0.044,0.0444,0.0383,0.0394,0.0395,0.041445
45,0.0315,0.0382,0.0394,0.0392,0.033226,0.0347,0.0358,0.0367,0.0926,0.127718,0.1157,0.121736,0.1254,0.0931,0.127718,0.0943,0.127718,0.1006,0.127718,0.108818,0.0377,0.0436,0.0442,0.0447,0.039026,0.039726,0.0399,0.0421
46,0.0318,0.0388,0.0397,0.0398,0.0338,0.0353,0.0364,0.0372,0.0937,0.1286,0.1169,0.122751,0.1269,0.0943,0.1286,0.0954,0.1286,0.1017,0.1286,0.1096,0.0383069999999999,0.044,0.0446,0.0452,0.0396,0.0401,0.0405,0.0427
47,0.0324,0.0394,0.0399,0.0403,0.0344,0.0357,0.0370879999999999,0.0378,0.0947,0.130184,0.1178,0.1238,0.128,0.0955,0.130184,0.0964,0.130184,0.1029839999999999,0.130184,0.1105,0.0389879999999999,0.0445,0.0448,0.0456,0.0402,0.0406,0.0413,0.0432
48,0.0327,0.0402,0.0404,0.041,0.0349,0.0362,0.0377,0.038169,0.0957,0.132217,0.118917,0.1247,0.129234,0.096417,0.132217,0.0976,0.132217,0.1041,0.132217,0.1116,0.0393,0.045,0.045,0.0459,0.0407,0.041,0.042169,0.044
49,0.0334,0.0409,0.04075,0.0416,0.0356,0.03675,0.0385,0.0388,0.0966,0.1335,0.1197,0.1256,0.13025,0.0976,0.1335,0.0987,0.1335,0.10525,0.1335,0.1126,0.0399,0.0454,0.0454,0.0462,0.0409,0.0415,0.0426,0.0445
50,0.034,0.0419,0.0412,0.0428,0.0362,0.0374,0.0390309999999999,0.0395,0.0979,0.1351,0.1202,0.1264,0.1311,0.0988,0.1351,0.099883,0.1351,0.1067,0.1351,0.1141829999999999,0.0404,0.0455,0.045931,0.0468,0.0414,0.0419,0.0431,0.045
51,0.0346,0.0422,0.0418,0.0433,0.0369,0.0379,0.039912,0.040212,0.0994,0.1368,0.1212,0.1271,0.1322,0.1,0.1368,0.1011,0.1368,0.108032,0.1368,0.115216,0.0408,0.0459,0.0465,0.047012,0.0418,0.0422,0.0436,0.0453
52,0.0352,0.0425,0.043,0.0439,0.037893,0.0384,0.0407,0.0414,0.1006,0.1383,0.1222,0.1278,0.133,0.1008,0.1383,0.102349,0.1383,0.1095,0.1383,0.116098,0.0412,0.0462,0.0468,0.0475,0.0422,0.0425,0.0441,0.045693
53,0.0358,0.0428,0.044274,0.044774,0.0384,0.039,0.040974,0.042,0.1017,0.1397,0.1229,0.129,0.134082,0.102164,0.1397,0.103864,0.1397,0.110882,0.1397,0.1174,0.0416,0.0468,0.0473,0.0479,0.0427,0.0429,0.044574,0.0462
54,0.036455,0.0437,0.0449,0.0453,0.039,0.0395,0.0413,0.042655,0.103015,0.141115,0.12433,0.1301,0.135415,0.10373,0.141115,0.105415,0.141115,0.1119,0.141115,0.118115,0.042,0.0471,0.0477,0.0491,0.0432,0.0433,0.045655,0.0467
55,0.037,0.0441,0.0453,0.0457,0.0397,0.0403,0.0421,0.0438,0.1047,0.1427,0.125048,0.130748,0.1364,0.1052,0.1427,0.106548,0.1427,0.113348,0.1427,0.119248,0.0425,0.0479,0.048536,0.0501,0.0436,0.0437,0.0464,0.0477
56,0.0378,0.044717,0.0456,0.0466,0.0402,0.041017,0.0428,0.0445,0.1061,0.1433,0.126,0.1316,0.137181,0.106581,0.1433,0.1077,0.1433,0.1144,0.1433,0.1206,0.042917,0.0487,0.048917,0.051017,0.0441,0.0443,0.047,0.0482
57,0.0382,0.0456979999999999,0.0461,0.0473979999999999,0.0406979999999999,0.0418,0.0435,0.0451,0.1072139999999999,0.144314,0.1271139999999999,0.132814,0.1384,0.1078419999999999,0.144314,0.1093,0.144314,0.1154,0.144314,0.1217139999999999,0.0434979999999999,0.0491,0.0493979999999999,0.0519,0.0447,0.0450979999999999,0.0475,0.0486
58,0.039,0.0463,0.0466,0.0488,0.0412,0.0426,0.0443579999999999,0.0457789999999999,0.108947,0.1453,0.1281,0.1343,0.140088,0.109694,0.1453,0.1108,0.1453,0.116447,0.1453,0.122647,0.0441789999999999,0.0496,0.0499789999999999,0.0523,0.0452789999999999,0.0459,0.0479789999999999,0.0489789999999999
59,0.0398,0.0470599999999999,0.0475,0.0502,0.0416,0.0437,0.0450599999999999,0.0463,0.11058,0.146,0.1293,0.1354,0.1420799999999999,0.1112799999999999,0.146,0.1123599999999999,0.146,0.1177599999999999,0.146,0.1238,0.0449,0.0501,0.0517599999999999,0.0528,0.0459,0.0467,0.0491599999999999,0.0494
60,0.0402,0.0480819999999999,0.048,0.0506,0.0423,0.0444,0.0459,0.0467,0.1123,0.1471,0.1314,0.1371,0.143313,0.1127129999999999,0.1471,0.1140129999999999,0.1471,0.1194,0.1471,0.1254,0.0455,0.0505,0.0527,0.0535,0.0465,0.0476409999999999,0.0498,0.0500409999999999
61,0.041022,0.049,0.0505,0.051422,0.0434,0.045222,0.046722,0.0473,0.113546,0.148346,0.1333,0.138846,0.144346,0.114346,0.148346,0.115646,0.148346,0.1208,0.148346,0.127046,0.0464,0.051,0.0537,0.0539,0.0471,0.0484,0.0505,0.0506
62,0.041703,0.049503,0.0516,0.053103,0.0442,0.0459,0.0473,0.0483,0.115,0.149579,0.134958,0.140979,0.145479,0.1157,0.149579,0.1172,0.149579,0.121779,0.149579,0.1286,0.0469,0.0516,0.0543,0.0541,0.0478,0.0491,0.0511,0.0511
63,0.0424,0.0506,0.0525,0.054,0.0448,0.0468,0.048084,0.049368,0.116312,0.1509,0.1371,0.1427,0.1466,0.117112,0.1509,0.118312,0.1509,0.123112,0.1509,0.129812,0.0475,0.0527,0.054584,0.0549,0.0485,0.0497,0.0515,0.051784
64,0.0429,0.0512,0.053065,0.0552,0.0453,0.0475,0.0488,0.051565,0.1175,0.1531,0.138745,0.144245,0.148445,0.118445,0.1531,0.119645,0.1531,0.124,0.1531,0.13199,0.048,0.054265,0.055265,0.055865,0.049565,0.0505,0.052265,0.052865
65,0.0437,0.0523,0.053992,0.056,0.0462,0.0482,0.049546,0.052646,0.118978,0.1557,0.141256,0.1462,0.1507,0.1199,0.1557,0.121278,0.1557,0.125578,0.1557,0.1338339999999999,0.0486,0.0554,0.0557,0.0565,0.050192,0.051046,0.052846,0.0538
66,0.0444,0.053627,0.0554,0.0567,0.047,0.0488,0.0503,0.0536,0.1204,0.158111,0.1426,0.148,0.152811,0.1212,0.158111,0.1232,0.158111,0.1269,0.158111,0.1354,0.0492,0.0558,0.0561,0.0571,0.0509,0.0516,0.0534,0.0544
67,0.0454,0.055216,0.0574,0.0576,0.048108,0.0494,0.052908,0.0542,0.1214,0.160144,0.144744,0.1505,0.155644,0.122844,0.160144,0.124744,0.160144,0.129144,0.160144,0.136944,0.0498,0.0563,0.0568,0.0581,0.0515,0.0522,0.054,0.055
68,0.0462889999999999,0.0567,0.0585,0.0587889999999999,0.0489889999999999,0.0499,0.0542,0.0552,0.1231,0.1639,0.1468539999999999,0.1532,0.1573,0.124,0.1639,0.1262,0.1639,0.131177,0.1639,0.1381769999999999,0.0503,0.057,0.0577,0.0589,0.052,0.0528,0.0545,0.0553
69,0.0469,0.0582,0.0597,0.0612,0.0498,0.0506,0.0550399999999999,0.0562,0.1242199999999999,0.16551,0.14862,0.1555099999999999,0.1599099999999999,0.12541,0.16551,0.12741,0.16551,0.13332,0.16551,0.14002,0.0508,0.0573,0.0581,0.0595,0.0524,0.0534,0.0548,0.0558
